channel_number,training_time_seconds
#Hidden_size = 512

1,205.41115880012512
2,245.6310863494873
3,126.89542770385742
4,163.45139122009277
5,144.2423505783081
6,307.8388817310333
7,146.5641894340515
8,165.63431978225708
9,135.24057793617249
10,156.6137363910675
11,139.18124866485596
12,221.71655321121216
13,135.34800791740417
14,159.09316658973694
15,141.63638138771057
16,110.4944851398468
17,165.30993366241455
18,158.19787859916687
19,120.01689028739929
20,81.74457001686096
21,200.81929349899292
22,217.08724117279053
23,106.27153730392456
24,113.9452633857727
25,112.53207564353943
26,104.04051041603088
27,136.47936272621155
28,128.28797793388367
29,104.85268187522888
31,124.94176483154297
32,96.38852000236511
33,97.4815948009491
34,101.68152451515198
35,99.1719126701355
36,148.07606983184814
37,341.75312209129333
38,109.66937828063965
39,190.12622046470642
40,236.3567168712616
41,189.10305976867676
42,114.3577344417572
43,140.4472930431366
44,291.0810081958771
45,144.72069573402405
46,97.2579562664032
47,197.1482629776001
48,114.4142062664032
49,107.25830483436584
50,110.50616717338562
51,98.22283411026001
52,137.79906821250916
53,94.2094349861145

#Hidden_size = 256
1,81.35711121559143
2,202.8957076072693
3,65.54247260093689
4,119.45133900642395
5,75.60451984405518
6,109.43471479415894
7,82.5606791973114
8,80.96858644485474
9,70.98562097549438
10,82.10456919670105
11,72.968341588974
12,116.02044296264648
1,81.33590388298035
2,203.28715419769287
3,65.59691834449768
4,119.74420666694641
5,75.90686559677124
6,109.73566389083862
7,83.084725856781
8,81.27669668197632
9,70.98884201049805
10,84.5701196193695
11,75.6812515258789
12,119.37004375457764
13,70.97291326522827
14,69.32762217521667
15,76.47264313697815
16,63.65612268447876
17,69.8931314945221
18,177.1657075881958
19,63.325326919555664
20,61.901775598526
21,245.86349964141846
22,99.38197898864746
23,66.0805299282074
24,55.107540130615234
25,69.2869164943695
26,64.77568745613098
27,71.90245747566223
28,62.35974979400635
29,55.16659069061279
31,60.246705293655396
32,50.66573739051819
33,51.34192419052124
34,53.56300973892212
35,159.83345890045166
36,69.0725326538086
37,158.21171760559082
38,69.75120306015015
39,121.60619497299194
40,154.2293574810028
41,101.59043383598328
42,72.36066150665283
43,137.2428047657013
44,60.85358810424805
45,82.83925104141235
46,175.43630504608154
47,105.59889554977417
48,60.158348083496094
49,71.32383298873901
50,85.9981632232666
51,60.76916527748108
52,72.30269932746887
53,41.9334237575531


#Hidden_size = 128
1,28.63167667388916
2,43.50149488449097
3,21.82116198539734
4,29.126208782196045
5,21.098082780838013
6,67.39975833892822
7,25.17484188079834
8,33.36636662483215
9,23.80489182472229
10,31.239920139312744
11,27.2118239402771
12,48.784433126449585
13,29.35439109802246
14,26.67695140838623
15,28.878779411315918
16,22.49944758415222
17,22.489729404449463
18,33.156826972961426
19,23.114745140075684
20,16.12296438217163
21,48.47730851173401
22,35.32535171508789
23,29.986258029937744
24,44.9546480178833
25,22.263059854507446
26,21.1866557598114
27,28.713849544525146
28,25.142022609710693
29,19.470741033554077
31,23.063011407852173
32,69.90444755554199
33,17.699689626693726
34,18.682098150253296
35,36.80585694313049
36,36.44021773338318
37,49.819796562194824
38,17.336410999298096
39,23.893178701400757
40,39.311559200286865
41,23.0643048286438
42,20.98335027694702
43,17.503693103790283
44,57.03500843048096
45,17.712106704711914
46,61.0917387008667
47,26.99689483642578
48,15.60520076751709
49,17.174372673034668
50,20.569111824035645
51,16.141392707824707
52,11.20999002456665
53,11.27210283279419

1,245.66375255584717
2,311.3316111564636
3,197.42240858078003
4,234.05701088905334
5,250.26623106002808
6,281.19417691230774
7,211.41660904884338
8,238.85164046287537
9,197.93841814994812
10,205.98877429962158
11,208.5786111354828
12,270.73214983940125
13,188.55453324317932
14,245.79936122894287
15,204.46328496932983
16,176.17085433006287
17,201.26408338546753
18,254.39794397354126
19,170.9580204486847
20,203.33326768875122
21,690.2302014827728
22,311.89513397216797
23,156.01786875724792
24,209.68186450004578
25,188.03514409065247
26,160.6502013206482
27,164.12033987045288
28,168.23343563079834
29,152.8365125656128
31,177.20508551597595
32,140.86069321632385
33,141.96026253700256
34,175.65883898735046
35,234.803373336792
36,241.10796809196472
37,330.7807493209839
38,289.55960607528687
39,343.72974610328674
40,396.49455070495605
41,225.5395450592041
42,176.2573721408844
43,562.9997482299805
44,562.9924552440643
45,663.3399128913879
46,1175.1922798156738
47,330.37163853645325
48,174.24281525611877
49,179.58490252494812
50,211.87723231315613
51,175.09574127197266
52,307.08501863479614
53,159.19493103027344






2,359.65166664123535
3,179.27786946296692
4,234.93028140068054
5,207.00983357429504
6,281.02511858940125
7,188.38131308555603
8,217.2544810771942
9,188.32437372207642
10,197.5788459777832
11,190.1892991065979
12,269.6717281341553
13,174.2837691307068
14,229.65812373161316
15,171.54461574554443
16,158.19872784614563
17,195.12528657913208
18,559.9302232265472
19,167.29072046279907
20,163.9241213798523
21,516.8463273048401
22,278.61785101890564
23,161.3802273273468
24,158.9054675102234
25,165.95127725601196
26,148.72110247612
27,178.91998767852783
28,165.06588625907898
29,149.6761498451233
31,163.64765310287476
32,137.79789471626282
33,139.47892785072327
34,154.45759987831116
35,203.77378392219543
36,227.22537326812744
37,364.5510265827179
38,152.50143957138062
39,260.05031394958496
40,595.4211919307709
41,174.97401976585388
42,175.8293011188507
43,148.38171768188477
44,140.74456882476807
45,142.2653660774231
46,496.25023102760315
47,335.3970241546631
48,138.7138752937317
49,158.39218091964722
50,195.65423798561096
51,141.09242272377014
52,192.80201888084412
53,104.91439771652222
